trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-193.11783077743434,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-124.51441374035542,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",20,9,-35.375220458902824,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.98}",25,6,-58.68293762001567,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.975}",25,3,-73.99918805565098,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-121.13416261163482,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-116.84939483812472,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-79.1568210356994,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-113.59659435499545,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-94.21208498751427,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-79.43649672839595,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,0,-46.331711414331735,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",35,0,-153.94123813512516,"{0: 19, 1: 6, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-118.62749120236415,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-77.14354865915821,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,12,-10.24923604535558,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,0,-163.7140429750488,"{0: 13, 1: 2, 2: 5, 3: 4, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-74.9113378096184,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",25,0,-323.79683838381544,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 6}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-132.72027839991418,"{0: 17, 1: 7, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-12.646361975674392,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",25,0,-216.1396088058906,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-203.26414499886306,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-20.255109570388157,"{0: 23, 1: 5, 2: 1, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",25,0,-97.11442067081497,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",25,0,-153.8193026928844,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",25,0,-73.13394258517788,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-29.91726023568838,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-122.43057518115161,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-94.859307392224,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,-97.00134883347242,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,1,-276.83856019307706,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 5}",1
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,0,-148.8830626495197,"{0: 10, 1: 8, 2: 4, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-44.0436056000309,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",30,0,-102.01476577208928,"{0: 20, 1: 7, 2: 1, 3: 0, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-64.46087797530892,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,0,-145.66754856461586,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",35,0,-150.01906322834108,"{0: 17, 1: 9, 2: 6, 3: 3, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",25,0,-160.11844005031165,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-68.21408308796458,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",25,0,-184.28101622685065,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-152.9445129331434,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.7849999999999998}",25,0,-82.4496893893954,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-68.2784254109721,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7749999999999998}",25,0,-50.442898943596475,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.7699999999999998}",20,0,-121.22656688704801,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7649999999999998}",30,0,-159.06355032213196,"{0: 14, 1: 10, 2: 4, 3: 0, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-89.51297926886096,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7549999999999998}",30,14,7.174024508606296,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-154.01217569528754,"{0: 9, 1: 6, 2: 1, 3: 2, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.7449999999999998}",25,0,-91.00987121032878,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,0,-143.5012592546945,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.7349999999999998}",25,0,-87.32371586839962,"{0: 12, 1: 9, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7299999999999998}",30,0,-94.67387840135238,"{0: 16, 1: 8, 2: 4, 3: 2, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.7249999999999998}",20,0,-16.5791662596313,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7199999999999998}",25,0,-150.87819441897065,"{0: 12, 1: 8, 2: 2, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.7149999999999997}",25,0,-214.05004215162984,"{0: 8, 1: 9, 2: 4, 3: 1, 4: 3}",0
58,False,"{'a': 0.5, 'e': 0.7099999999999997}",25,0,-74.67682448571094,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.7049999999999997}",25,0,-148.62505502915968,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-176.99004971137913,"{0: 12, 1: 7, 2: 2, 3: 1, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.6949999999999997}",20,0,-45.87648249962116,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-51.87312852847613,"{0: 10, 1: 8, 2: 2, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.6849999999999997}",20,0,-68.29005680776116,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-103.74501427568894,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,0,-102.99075843965338,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-119.25589534544835,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.6649999999999997}",30,0,-103.37697482902507,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.6599999999999997}",30,0,-84.50514412611557,"{0: 22, 1: 5, 2: 1, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.6549999999999997}",25,0,-66.04774755665619,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-106.81065499288502,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.6449999999999997}",20,0,-30.169630876650878,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-61.49648470411487,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6349999999999997}",35,0,-164.2488869573836,"{0: 22, 1: 7, 2: 1, 3: 3, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-47.3724342867644,"{0: 11, 1: 7, 2: 2, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.6249999999999997}",25,0,-81.06712875613285,"{0: 12, 1: 8, 2: 4, 3: 1, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.6199999999999997}",20,0,-34.955170254797785,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6149999999999997}",30,0,-144.09333557424267,"{0: 15, 1: 10, 2: 3, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.6099999999999997}",20,0,-36.79257384911167,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.6049999999999996}",20,0,-48.785683609621394,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-103.63178032718825,"{0: 15, 1: 9, 2: 5, 3: 1, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.5949999999999996}",20,0,-58.14254570906997,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,0,-95.359161087405,"{0: 9, 1: 7, 2: 2, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.5849999999999996}",20,0,-35.322215400366176,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-104.16607468428285,"{0: 12, 1: 9, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",30,0,-42.88205165652293,"{0: 19, 1: 10, 2: 0, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",30,0,-175.3299435876657,"{0: 10, 1: 14, 2: 3, 3: 2, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,0,-68.0549918631707,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-42.897131688735605,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",30,0,-74.52174746281021,"{0: 19, 1: 9, 2: 1, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-142.99907261898574,"{0: 11, 1: 9, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",20,0,-62.768408716449336,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",20,0,-101.51994156026993,"{0: 7, 1: 10, 2: 2, 3: 0, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-139.88335664326337,"{0: 11, 1: 5, 2: 1, 3: 0, 4: 3}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-62.38982622191355,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",20,0,-100.6385260506524,"{0: 12, 1: 6, 2: 0, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",30,0,-85.72059037027559,"{0: 16, 1: 8, 2: 5, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",25,0,-29.849321924196342,"{0: 16, 1: 7, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",30,0,-145.20427257146866,"{0: 13, 1: 11, 2: 4, 3: 1, 4: 1}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",20,0,-112.33248262499248,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,0,-94.02861689160545,"{0: 14, 1: 8, 2: 1, 3: 1, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,0,-101.95323838920328,"{0: 11, 1: 6, 2: 1, 3: 0, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,0,-65.88365295495552,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,0,-142.48121398203517,"{0: 11, 1: 10, 2: 2, 3: 0, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,-125.323733670823,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,0,-77.36399116572137,"{0: 8, 1: 10, 2: 0, 3: 2, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,0,-81.86021528808246,"{0: 15, 1: 8, 2: 0, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",30,0,-138.59850923224317,"{0: 16, 1: 9, 2: 3, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-13.030882133073538,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",20,0,-91.49157353258151,"{0: 10, 1: 7, 2: 1, 3: 1, 4: 1}",0
