trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-132.1727538524312,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-137.75286823787704,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-118.19332776004153,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.98}",30,0,-142.61036337897656,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-113.8888001390102,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",25,0,-122.59295432038712,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.965}",30,7,-116.55916042229953,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.96}",25,0,-88.36794806866064,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",25,0,-185.29461354867163,"{0: 11, 1: 7, 2: 4, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-164.40005585494575,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.945}",30,0,-116.81058166645866,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",25,10,-72.65669529647867,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,5,-73.19527028220497,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-90.43652556151117,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,6,-49.88341036555025,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-165.8999248880763,"{0: 12, 1: 6, 2: 3, 3: 2, 4: 2}",0
